Instrument_Category, Dataset_ID, Instrument, Dataset, XIC_WideFrac, MS1_TIC_Change_Q2, MS1_TIC_Q2, MS1_Density_Q1, MS1_Density_Q2, MS2_Density_Q1, DS_2A, DS_2B, MS1_2B, P_2A, P_2B, P_2C, SMAQC_Job, Quameter_Job, XIC_FWHM_Q1, XIC_FWHM_Q2, XIC_FWHM_Q3, XIC_Height_Q2, XIC_Height_Q3, XIC_Height_Q4, RT_Duration, RT_TIC_Q1, RT_TIC_Q2, RT_TIC_Q3, RT_TIC_Q4, RT_MS_Q1, RT_MS_Q2, RT_MS_Q3, RT_MS_Q4, RT_MSMS_Q1, RT_MSMS_Q2, RT_MSMS_Q3, RT_MSMS_Q4, MS1_TIC_Change_Q3, MS1_TIC_Change_Q4, MS1_TIC_Q3, MS1_TIC_Q4, MS1_Count, MS1_Freq_Max, MS1_Density_Q3, MS2_Count, MS2_Freq_Max, MS2_Density_Q2, MS2_Density_Q3, MS2_PrecZ_1, MS2_PrecZ_2, MS2_PrecZ_3, MS2_PrecZ_4, MS2_PrecZ_5, MS2_PrecZ_more, MS2_PrecZ_likely_1, MS2_PrecZ_likely_multi, Quameter_Last_Affected, C_1A, C_1B, C_2A, C_2B, C_3A, C_3B, C_4A, C_4B, C_4C, DS_1A, DS_1B, DS_3A, DS_3B, IS_1A, IS_1B, IS_2, IS_3A, IS_3B, IS_3C, MS1_1, MS1_2A, MS1_3A, MS1_3B, MS1_5A, MS1_5B, MS1_5C, MS1_5D, MS2_1, MS2_2, MS2_3, MS2_4A, MS2_4B, MS2_4C, MS2_4D, P_1A, P_1B, P_3, Smaqc_Last_Affected, PSM_Source_Job, year
Orbitrap,477950,LTQ_Orb_2,QC_Shew_16_01-500ng_4a_15Mar16_Falcon_16-01-10,0.294085,2.16194,2.47922,1791,2374,225,432,4322,218840,2513,2243,2036,1291691,2323889,27.5913,30.3589,37.0426,1.93744,1.21236,4.41923,5939.6,0.311262,0.0958381,0.105149,0.487751,0.253273,0.223147,0.251557,0.272023,0.253127,0.223208,0.251643,0.272022,1.25396,2.10217,0.742172,0.852394,1623,0.315918,2714,16230,3.15841,354,573,0.128343,0.237708,0.181762,0.0529267,0.00918053,0.00123229,0.00585336,0.382994,3/16/2016 4:20:19 AM,0,0.000771,24.593,52.7792,25.36,25.33,25.98,29.3,25.27,5.734,6.543,1.585,1.125,0,0,817.6833,0.008275,0.488861,0.141311,26.857,500.4,125.112,1048600,0.016101,0.018843,8.372,8.38,79.768,105.3,630,0.0319,0.1712,0.2547,0.2947,7.11,-7.113,0.02947,3/16/2016 5:08:14 AM,1291690,2023
Orbitrap,477956,LTQ_Orb_2,QC_Shew_16_01-500ng_1b_15Mar16_Falcon_16-01-07,0.299332,2.50144,3.05414,1745.25,2202,209,398,3984,261340,2887,2634,2348,1291696,2323922,20.8917,23.8674,31.8417,2.28686,2.01479,4.88812,5941.52,0.251741,0.0854457,0.095856,0.566957,0.241401,0.219506,0.25805,0.281043,0.241404,0.219535,0.258061,0.281,1.44471,2.02858,1.13211,0.863826,1618,0.325044,2604.75,16176,3.27824,318,535,0.122465,0.253276,0.200359,0.0504451,0.00729476,0.00098912,0.00735658,0.357814,3/16/2016 7:15:58 AM,0,0.000337,22.327,66.5114,18.87,18.46,18.49,27.62,18.66,5.9,6.667,1.392,1.053,0,0,817.1079,0.022119,0.543655,0.147846,36.968,510.4,150.405,1162300,0.015999,0.018508,8.219,8.22,67.771,116.6,587,0.0253,0.1713,0.3192,0.3388,7.37,-7.366,0.027683,3/16/2016 8:08:20 AM,1291695,2023
VOrbitrap,477959,QExactP04,QC_Shew_15_02_2_15Mar16_Arwen_16-01-03,0.318157,1.74139,NA,1448,1682,220,1625,16707,6321400,17554,15179,11966,1291737,2323934,12.2448,13.2923,15.1363,1.01789,1.12707,4.37799,5999.87,0.390536,0.0507198,0.0216608,0.537084,0.170705,0.210501,0.336557,0.282237,0.297078,0.209127,0.211883,0.281912,1.09529,1.88585,2.56222,1.11511,6255,2.75209,1880,40172,8.69008,350,499,0,0.466245,0.399333,0.121926,0.010928,0.00156826,0,0,3/16/2016 8:16:15 AM,0.001526,0.002071,34.6182,265.0918,12.22,12.97,9.47,9.82,12.92,3.048,4.725,1.926,1.233,1,0,711.3688,0,0.989641,0.206215,0.899,1168,369.968,1.4228E+07,0.003959,0.008183,2.173,2.174,74.487,125.8,5682,0.3302,0.4398,0.5089,0.5836,11.35,-11.349,0.05173,3/16/2016 9:23:55 AM,1291736,2023
VOrbitrap,477960,QExactP04,QC_Shew_15_02_1_15Mar16_Arwen_16-01-03,0.313863,1.35454,NA,1478,1745,239,1602,16911,5817450,17803,15451,12000,1291761,2323935,12.3991,13.4413,15.4239,0.949476,1.14408,4.6122,5999.75,0.942939,0.0247028,0.0109113,0.0214473,0.172629,0.216226,0.35973,0.251414,0.29692,0.208981,0.208441,0.285657,1.05219,1.95634,1.42614,0.967482,6379,2.76046,2060,39753,8.71521,367,518,0,0.474631,0.400976,0.113551,0.00976027,0.00108168,0,0,3/16/2016 8:17:49 AM,0.001127,0.001771,35.067,265.7484,12.24,12.95,9.38,9.54,12.93,2.817,4.768,1.931,1.234,2,0,715.693,0,0.986618,0.206419,0.996,1191,318.649,1.3441E+07,0.002774,0.00775,1.488,1.49,78.1,126.2,5851,0.3583,0.4491,0.5169,0.584,11.55,-11.555,0.052333,3/16/2016 9:24:03 AM,1291760,2023
VOrbitrap,477961,QExactP04,QC_Shew_15_02_3_15Mar16_Arwen_16-01-03,0.313301,1.95051,NA,1440,1663,214,1580,16325,6314450,16949,14604,11482,1291765,2323936,12.3353,13.4421,15.3699,1.00354,1.14163,4.49367,5999.71,0.0558863,0.108895,0.806816,0.0284032,0.172533,0.214398,0.352109,0.260959,0.296721,0.206371,0.208671,0.288237,1.12498,1.88667,2.56526,1.05785,6416,2.75289,1876,39770,8.74372,345,490,0,0.48094,0.393236,0.114785,0.00955494,0.00148353,0,0,3/16/2016 8:18:18 AM,0.001128,0.00203,33.5858,264.0997,12.29,13.05,9.68,9.69,13.03,3.014,4.843,1.968,1.238,1,0,706.6556,0,0.931283,0.18729,0.926,1152,369.447,1.41945E+07,0.004484,0.008264,2.485,2.486,72.424,126.5,5617,0.312,0.4353,0.5053,0.5692,11.18,-11.185,0.053475,3/16/2016 9:24:03 AM,1291764,2023
VOrbitrap,477965,VOrbi05,QC_Shew_TEDDY_01_500ng_HCD-6_9Mar16_Frodo_15-12-12,0.336665,1.13263,0.983963,2434.5,2657,118,713,7126,1012200,6379,5707,4805,1291715,2323940,20.3039,22.427,27.7311,1.10946,0.989114,3.84879,6003.44,0.332553,0.106426,0.121255,0.439766,0.304475,0.189288,0.19488,0.311357,0.303964,0.189067,0.194684,0.312285,0.709088,4.12364,0.371115,0.560735,1751,0.390625,2827,17510,3.93097,155,194,0,0.286808,0.192519,0.058538,0.0145631,0.00308395,0.0361508,0.408338,3/16/2016 8:10:55 AM,0.000869,0.002463,32.005,107.8269,17.48,18.25,13.83,14.68,18.09,4.418,4.603,1.45,1.089,0,0,719.7751,0.000332,0.9499,0.285003,0.807,462.9,231.311,2122500,-0.001046,0.009117,-0.548,-0.547,24.155,33.4,168,0.4875,0.4071,0.4087,0.4523,10.8,-10.801,0.090114,3/16/2016 9:18:36 AM,1291714,2023
VOrbitrap,477972,VOrbi05,QC_Shew_TEDDY_01_500ng_HCD-end_14Mar16_Frodo_15-12-12,0.321036,1.16151,0.508681,2400,2691,119,751,7505,1051950,7503,6647,5640,1291751,2323947,19.4232,21.3411,26.3877,0.877783,0.952971,3.87482,5998.58,0.322747,0.126081,0.154181,0.396991,0.313258,0.20333,0.209469,0.273943,0.312817,0.203071,0.209213,0.274899,0.799601,3.48987,0.304752,0.547012,1873,0.392222,3080,18730,3.95508,158,199,0,0.252803,0.226215,0.0849439,0.0200214,0.00368393,0.0266951,0.385638,3/16/2016 8:16:43 AM,0.000871,0.00448,33.5344,119.8471,16.96,17.84,14.01,14.29,17.78,4.587,4.02,1.444,1.089,1,0,736.8888,0,1.285714,0.447525,0.732,451.25,143.202,2303150,0.004187,0.010783,2.041,2.041,21.921,32.2,168,0.4885,0.4504,0.4584,0.4826,11.42,-11.424,0.078369,3/16/2016 9:18:39 AM,1291750,2023
VOrbitrap,477976,VOrbi05,QC_Shew_TEDDY_01_500ng_HCD-start-46_9Mar16_Frodo_15-12-12,0.326322,1.08991,0.934646,2430,2640,119,701,7014,1086950,6342,5643,4774,1291755,2323951,20.7791,23.0076,28.5091,1.00628,1.00885,3.78523,6006.96,0.308155,0.117598,0.128953,0.445294,0.298792,0.190381,0.19657,0.314256,0.298283,0.190146,0.196346,0.315225,0.764788,4.15364,0.290222,0.503127,1759,0.391389,2816.5,17590,3.94544,156,195,0,0.284309,0.188459,0.0591814,0.0139852,0.00369528,0.0366686,0.413701,3/16/2016 8:17:06 AM,0.001307,0.002614,31.5868,109.0012,17.66,18.41,13.95,14.71,18.19,4.296,4.809,1.435,1.088,0,1,717.3423,0.00033,0.930455,0.282795,0.736,468.15,260.553,2165850,-0.000572,0.009743,-0.333,-0.332,24.343,33.575,169,0.4895,0.3992,0.4025,0.4561,10.78,-10.778,0.092166,3/16/2016 9:13:31 AM,1291754,2023
VOrbitrap,477981,VOrbi05,QC_Shew_TEDDY_01_500ng_HCD-99_14Mar16_Frodo_15-12-12,0.324561,1.00553,0.620058,2418,2686,119,763,7629,1157750,7543,6692,5632,1291781,2323956,19.5882,21.6704,26.386,0.895027,0.999623,3.84549,6001.73,0.322941,0.128522,0.143928,0.404609,0.312726,0.201947,0.207619,0.277707,0.312361,0.201704,0.207329,0.278606,0.674365,3.92291,0.323865,0.468017,1870,0.39088,3064,18696,3.94079,159,199,0,0.254546,0.224593,0.0840287,0.0202182,0.00411853,0.0280809,0.384414,3/16/2016 8:20:56 AM,0.001237,0.003092,33.9186,119.1677,17,17.84,14.06,14.23,17.74,4.39,4.218,1.449,1.095,0,0,735.144,0,1.247769,0.432739,0.677,453.8,152.288,2366900,0.004059,0.010425,1.984,1.985,21.269,32.58,169,0.5057,0.4531,0.4463,0.4885,11.48,-11.484,0.07777,3/16/2016 9:23:53 AM,1291780,2023
Orbitrap,477984,LTQ_Orb_2,QC_Shew_16_01-500ng_2b_15Mar16_Falcon_16-01-08,0.330555,2.14336,2.74237,1718,2314.5,199,422,4221,224630,2599,2377,2159,1291787,2324006,23.5972,25.6435,30.5894,2.13228,1.23809,4.20081,5939.4,0.321574,0.0938895,0.102724,0.481813,0.256153,0.222557,0.249463,0.271827,0.256261,0.222525,0.24953,0.271684,1.24679,1.73487,0.762519,0.737966,1632,0.31676,2649,16315,3.19003,327,549,0.128103,0.239718,0.178793,0.0522832,0.00833589,0.000980693,0.00796813,0.383819,3/16/2016 8:59:58 AM,0,0,23.7726,56.5777,22.81,22.84,22.76,27.33,22.74,6.598,6.356,1.461,1.103,0,0,818.4418,0.006757,0.503686,0.128378,26.2545,520.9,132.368,1080500,0.017259,0.019964,9.007,9.009,75.374,103.8,603,0.0277,0.1705,0.2723,0.3051,7.06,-7.065,0.033812,3/16/2016 9:53:15 AM,1291786,2023
